STARTDATE_EPOCH|STOPDATE_EPOCH|DURATION_MS|STARTDATE|STOPDATE|DURATION|QUERY|SCALE_FACTOR|BENCHMARK_PHASE|STREAM|SUCCESSFUL|EXIT_CODE|HAS_RESULT|HDFS_SIZE
1492837224|1492837261|37000|2017/04/22:13:00:24|2017/04/22:13:01:01|0h 0m 37s|dataGen_base|1|run_query|0|SUCCESS|0||
1492837261|1492837296|35000|2017/04/22:13:01:01|2017/04/22:13:01:36|0h 0m 35s|dataGen_refresh|run_query|0|SUCCESS|0
1492837299|1492837464|165000|2017/04/22:13:01:39|2017/04/22:13:04:24|0h 2m 45s|Load data|1|Load data|0|SUCCESS|0||
1492837478|1492837535|57000|2017/04/22:13:04:38|2017/04/22:13:05:35|0h 0m 57s|q01|1|power_test|0|SUCCESS|0|HAS_RESULT|45
1492838376|1492838415|39000|2017/04/22:13:19:36|2017/04/22:13:20:15|0h 0m 39s|dataGen_base|1|run_query|0|SUCCESS|0||
1492838415|1492838452|37000|2017/04/22:13:20:15|2017/04/22:13:20:52|0h 0m 37s|dataGen_refresh|run_query|0|SUCCESS|0
1492838456|1492838580|124000|2017/04/22:13:20:56|2017/04/22:13:23:00|0h 2m 4s|Load data|1|Load data|0|FAILED|3||
1492839291|1492839331|40000|2017/04/22:13:34:51|2017/04/22:13:35:31|0h 0m 40s|dataGen_base|1|run_query|0|SUCCESS|0||
1492839331|1492839373|42000|2017/04/22:13:35:31|2017/04/22:13:36:13|0h 0m 42s|dataGen_refresh|run_query|0|SUCCESS|0
1492839377|1492839541|164000|2017/04/22:13:36:17|2017/04/22:13:39:01|0h 2m 44s|Load data|1|Load data|0|SUCCESS|0||
1492839554|1492839608|54000|2017/04/22:13:39:14|2017/04/22:13:40:08|0h 0m 54s|q01|1|power_test|0|SUCCESS|0|HAS_RESULT|45
1492839687|1492840332|645000|2017/04/22:13:41:27|2017/04/22:13:52:12|0h 10m 45s|dataGen_base|100|run_query|0|SUCCESS|0||
1492840333|1492840385|52000|2017/04/22:13:52:13|2017/04/22:13:53:05|0h 0m 52s|dataGen_refresh|run_query|0|SUCCESS|0
1492840388|1492841166|778000|2017/04/22:13:53:08|2017/04/22:14:06:05|0h 12m 58s|Load data|100|Load data|0|SUCCESS|0||
1492841180|1492841262|82000|2017/04/22:14:06:20|2017/04/22:14:07:42|0h 1m 22s|q01|100|power_test|0|SUCCESS|0|HAS_RESULT|1636
1492850676|1492851244|568000|2017/04/22:16:44:36|2017/04/22:16:54:04|0h 9m 28s|dataGen_base|100|run_query|0|SUCCESS|0||
1492851244|1492851297|53000|2017/04/22:16:54:04|2017/04/22:16:54:57|0h 0m 53s|dataGen_refresh|run_query|0|SUCCESS|0
1492851301|1492852072|771000|2017/04/22:16:55:01|2017/04/22:17:07:52|0h 12m 51s|Load data|100|Load data|0|SUCCESS|0||
1492852086|1492852166|80000|2017/04/22:17:08:06|2017/04/22:17:09:26|0h 1m 20s|q01|100|power_test|0|SUCCESS|0|HAS_RESULT|1636
1492852181|1492852479|298000|2017/04/22:17:09:41|2017/04/22:17:14:39|0h 4m 58s|q02|100|power_test|0|SUCCESS|0|HAS_RESULT|525
1492852498|1492852719|221000|2017/04/22:17:14:58|2017/04/22:17:18:39|0h 3m 41s|q03|100|power_test|0|SUCCESS|0|HAS_RESULT|1697
1492852734|1492852742|8000|2017/04/22:17:18:54|2017/04/22:17:19:02|0h 0m 8s|q04|100|power_test|0|FAILED|64|EMPTY|0
1492855856|1492855902|46000|2017/04/22:18:10:56|2017/04/22:18:11:42|0h 0m 46s|dataGen_base|1|run_query|0|SUCCESS|0||
1492855902|1492855937|35000|2017/04/22:18:11:42|2017/04/22:18:12:17|0h 0m 35s|dataGen_refresh|run_query|0|SUCCESS|0
1492855941|1492856112|171000|2017/04/22:18:12:21|2017/04/22:18:15:12|0h 2m 51s|Load data|1|Load data|0|SUCCESS|0||
1492856125|1492856177|52000|2017/04/22:18:15:25|2017/04/22:18:16:17|0h 0m 52s|q01|1|power_test|0|SUCCESS|0|HAS_RESULT|45
1492856192|1492856261|69000|2017/04/22:18:16:32|2017/04/22:18:17:41|0h 1m 9s|q02|1|power_test|0|SUCCESS|0|HAS_RESULT|464
1492856276|1492856349|73000|2017/04/22:18:17:56|2017/04/22:18:19:09|0h 1m 13s|q03|1|power_test|0|SUCCESS|0|HAS_RESULT|1427
1492856364|1492856440|76000|2017/04/22:18:19:24|2017/04/22:18:20:40|0h 1m 16s|q05|1|power_test|0|FAILED|1|EMPTY|
1492857886|1492857927|41000|2017/04/22:18:44:46|2017/04/22:18:45:27|0h 0m 41s|dataGen_base|1|run_query|0|SUCCESS|0||
1492857927|1492857965|38000|2017/04/22:18:45:27|2017/04/22:18:46:05|0h 0m 38s|dataGen_refresh|run_query|0|SUCCESS|0
1492857968|1492858133|165000|2017/04/22:18:46:08|2017/04/22:18:48:53|0h 2m 45s|Load data|1|Load data|0|SUCCESS|0||
1492858146|1492858198|52000|2017/04/22:18:49:06|2017/04/22:18:49:58|0h 0m 52s|q01|1|power_test|0|SUCCESS|0|HAS_RESULT|45
1492858213|1492858279|66000|2017/04/22:18:50:13|2017/04/22:18:51:19|0h 1m 6s|q02|1|power_test|0|SUCCESS|0|HAS_RESULT|464
